project,commit_url,files_modified,found_in_both,vuln_commit,vuln_lines_added,vuln_lines_deleted,fix_commit,fix_lines_added,fix_lines_deleted,cve,cwe
curl,https://github.com/curl/curl/commit/13c9a9ded3ae744a1e11cbc14e9146d9fa427040,lib/imap.c,No,769647e714b8da41bdb72720bf02dce56033e02e,7,10,13c9a9ded3ae744a1e11cbc14e9146d9fa427040,5,0,CVE-2017-1000257,CWE-119
curl,https://github.com/curl/curl/commit/0b664ba968437715819bfe4c7ada5679d16ebbc3,tests/data/Makefile.inc;lib/curl_fnmatch.c;tests/data/test1163,No,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,30,31,0b664ba968437715819bfe4c7ada5679d16ebbc3,56,7,CVE-2017-8817,CWE-125
curl,https://github.com/bagder/curl/commit/b5f947b8ac0e282c61c75b69cd5b9d37dafc6959,lib/cookie.c,No,31be461c6b659312100c47be6ddd5f0f569290f6,1,1,b5f947b8ac0e282c61c75b69cd5b9d37dafc6959,7,5,CVE-2015-3145,CWE-119
curl,https://github.com/curl/curl/commit/6efd2fa529a189bf41736a610f6184cd8ad94b4d,lib/vtls/mbedtls.c;lib/vtls/polarssl.c,No,5db313985e502e82a3eed03396ee600b726d60c2,1,1,6efd2fa529a189bf41736a610f6184cd8ad94b4d,12,14,CVE-2016-3739,CWE-20
curl,https://github.com/curl/curl/commit/7214288898f5625a6cc196e22a74232eada7861c,tests/data/Makefile.inc;tests/data/test2081;lib/transfer.c,No,184ffc0bdfcab17eb96d1dd64f9c0cecc139e3e9,1,2,7214288898f5625a6cc196e22a74232eada7861c,90,3,CVE-2021-22876,CWE-200
curl,https://github.com/curl/curl/commit/9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,lib/url.c;lib/urldata.h,No,c79b2ca03d94d996c23cee13859735cc278838c1,2,2,9b5e12a5491d2e6b68e0c88ca56f3a9ef9fba400,30,31,CVE-2017-8818,CWE-119
curl,https://github.com/curl/curl/commit/75dc096e01ef1e21b6c57690d99371dedb2c0b80,lib/multi.c,No,9cb1059f92286a6eb5d28c477fdd3f26aed1d554,7,0,75dc096e01ef1e21b6c57690d99371dedb2c0b80,2,0,CVE-2016-5421,CWE-416
curl,https://github.com/curl/curl/commit/57d299a499155d4b327e341c6024e293b0418243,lib/curl_ntlm_core.c,No,19ebc282172ff204648f350c6e716197d5b4d221,4,4,57d299a499155d4b327e341c6024e293b0418243,4,1,CVE-2018-14618,CWE-190
curl,https://github.com/curl/curl/commit/7f2a1df6f5fc598750b2c6f34465c8d924db28cc,lib/curl_ntlm_core.c,No,0b664ba968437715819bfe4c7ada5679d16ebbc3,56,7,7f2a1df6f5fc598750b2c6f34465c8d924db28cc,18,2,CVE-2017-8816,CWE-190
curl,https://github.com/curl/curl/commit/481e0de00a9003b9c5220b120e3fc302d9b0932d,src/tool_msgs.h;src/tool_msgs.c;src/tool_operate.c;src/tool_helpers.c;src/tool_helpers.h,No,df6a4d3519655b26137a90a440c5a99f4abe7e22,9,1,481e0de00a9003b9c5220b120e3fc302d9b0932d,65,16,,
