project,build_type
univention-corporate-server,UNKNOWN
uriparser,LEGACY_AUTOTOOLS
usbredir,UNKNOWN
util-linux,LEGACY_AUTOTOOLS
uWebSockets,LEGACY_MAKE
uzbl,LEGACY_MAKE
v4l2loopback,LEGACY_MAKE
VeraCrypt,UNKNOWN
veyon,MODERN_CMAKE
virglrenderer,LEGACY_AUTOTOOLS
vlc,LEGACY_AUTOTOOLS
w3m,MISSING
WAVM,MODERN_CMAKE
weechat,MODERN_CMAKE
wildmidi,MODERN_CMAKE
wolfssl,MODERN_CMAKE
xrootd,MODERN_CMAKE
yara,LEGACY_AUTOTOOLS
zlib,MODERN_CMAKE
ZLMediaKit,MODERN_CMAKE
znc,LEGACY_AUTOTOOLS
zsh,LEGACY_AUTOTOOLS
zziplib,LEGACY_AUTOTOOLS
